TransName,Dx,Dy,Dz,Rx,Ry,Rz,Scale,Xm,Ym,Zm
Pointe Noire To WGS 1984,-148,51,-291,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 1,-288,175,-376,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 2,-270,188,-388,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 3,-270,183,-390,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 4,-305,243,-442,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 5,-282,169,-371,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 6,-278,171,-367,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 7,-298,159,-369,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 8,-279,175,-379,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 9,-295,173,-371,0,0,0,0,0,0,0
Sapper Hill 1943 To WGS 1984,-355,21,72,0,0,0,0,0,0,0
Schwarzeck To WGS 1984,616,97,-251,0,0,0,0,0,0,0
Tananarive 1925 To WGS 1984,-189,-242,-91,0,0,0,0,0,0,0
Timbalai 1948 To WGS 1984,-679,669,-48,0,0,0,0,0,0,0
TM65 To WGS 1984,506,-122,611,0,0,0,0,0,0,0
Tokyo To WGS 1984 1,-148,507,685,0,0,0,0,0,0,0
Tokyo To WGS 1984 2,-148,507,685,0,0,0,0,0,0,0
Tokyo To WGS 1984 3,-146,507,687,0,0,0,0,0,0,0
Tokyo To WGS 1984 4,-158,507,676,0,0,0,0,0,0,0
Yacare To WGS 1984,-155,171,37,0,0,0,0,0,0,0
Zanderij To WGS 1984,-265,120,-358,0,0,0,0,0,0,0
AGD 1984 To WGS 1984 2,-116,-50.47,141.69,0.23,0.39,0.344,9.83E-08,0,0,0
WGS 1972 To WGS 1984 1,0,0,4.5,0,0,0.554,2.263E-07,0,0,0
WGS 1972 To WGS 1984 2,0,0,4.5,0,0,0.554,0.000000219,0,0,0
ED 1950 To WGS 1984 16,-112,-77,-145,0,0,0,0,0,0,0
Herat North To WGS 1984,-333,-222,114,0,0,0,0,0,0,0
Kalianpur 1962 To WGS 1984 1,283,682,231,0,0,0,0,0,0,0
Indonesian 1974 To WGS 1984,-24,-15,5,0,0,0,0,0,0,0
NAD 1983 To WGS 1984 2,-2,0,4,0,0,0,0,0,0,0
NAD 1983 To WGS 1984 3,1,1,-1,0,0,0,0,0,0,0
Nord Sahara 1959 To WGS 1984,-186,-93,310,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984,28,-130,-95,0,0,0,0,0,0,0
Fahud To WGS 1984,-346,-1,224,0,0,0,0,0,0,0
Schwarzeck To WGS 1984 2,615.64,102.08,-255.81,0,0,0,0,0,0,0
GGRS 1987 To WGS 1984,-199.87,74.79,246.62,0,0,0,0,0,0,0
ED 1950 To WGS 1984 17,-84,-97,-117,0,0,0,0,0,0,0
Samboja To WGS 1984,-404.78,-685.68,-45.47,0,0,0,0,0,0,0
LKS 1994 To WGS 1984,0,0,0,0,0,0,0,0,0,0
Arc 1960 To WGS 1984 2,-157,-2,-299,0,0,0,0,0,0,0
Arc 1960 To WGS 1984 3,-175,-23,-303,0,0,0,0,0,0,0
Segora To WGS 1984,-403,684,41,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984 3,28,-121,-77,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984 4,23,-124,-82,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984 5,26,-121,-78,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984 6,24,-124,-82,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984 7,15,-130,-84,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984 8,24,-130,-92,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984 9,28,-121,-77,0,0,0,0,0,0,0
Trinidad 1903 To WGS 1984,-61.702,284.488,472.052,0,0,0,0,0,0,0
Moznet To WGS 1984,0,0,0,0,0,0,0,0,0,0
Pulkovo 1942 To WGS 1984 10,43.822,-108.842,-119.585,1.455,-0.761,0.737,0.000000549,0,0,0
Indian 1975 To WGS 1984 2,210,814,289,0,0,0,0,0,0,0
Tokyo To WGS 1984 5,-147,506,687,0,0,0,0,0,0,0
MGI To WGS 1984,682,-203,480,0,0,0,0,0,0,0
Naparima 1972 To WGS 1984 3,-2,374,172,0,0,0,0,0,0,0
NAD 1983 To WGS 1984 4,-0.9738,1.9453,0.5486,0.02755079,0.01004922,0.011359,0,0,0,0
ED 1950 Denmark To WGS 1984 1,-89.5,-93.8,-123.1,0,0,-0.156,0.0000012,0,0,0
ED 1950 To WGS 1984 18,-89.5,-93.8,-123.1,0,0,-0.156,0.0000012,0,0,0
GCS European 1979 To WGS 1984 1,-86,-98,-119,0,0,0,0,0,0,0
OSGB 1936 To WGS 1984 Petroleum,446.448,-125.157,542.06,0.15,0.247,0.842,-0.000020489,0,0,0
Manoca To WGS 1984 1,-70.9,-151.8,-41.4,0,0,0,0,0,0,0
Camacupa To WGS 1984 1,-42.01,-332.21,-229.75,0,0,0,0,0,0,0
Camacupa To WGS 1984 2,-40,-354,-224,0,0,0,0,0,0,0
Camacupa To WGS 1984 3,-37.2,-370.6,-224,0,0,0.554,0.000000219,0,0,0
Camacupa To WGS 1984 4,-41.8,-342.2,-228.2,0,0,0,0,0,0,0
Camacupa To WGS 1984 5,-55.5,-348,-229.2,0,0,0,0,0,0,0
Camacupa To WGS 1984 6,-43,-337,-233,0,0,0,0,0,0,0
Camacupa To WGS 1984 7,-48,-345,-231,0,0,0,0,0,0,0
Camacupa To WGS 1984 8,-48.6,-345.1,-230.8,0,0,0,0,0,0,0
Camacupa To WGS 1984 9,-41.057,-374.564,-226.287,0,0,0.554,0.000000219,0,0,0
Camacupa To WGS 1984 10,-50.9,-347.6,-231,0,0,0,0,0,0,0
Mhast To WGS 1984 1,-252.95,-4.11,-96.38,0,0,0,0,0,0,0
Malongo 1987 To WGS 1984 1,-252.95,-4.11,-96.38,0,0,0,0,0,0,0
Estonia 1992 To WGS 1984,0.055,-0.541,-0.185,0.0183,-0.0003,-0.007,-0.000000014,0,0,0
Pulkovo 1942 To WGS 1984 12,21.58719,-97.54127,-60.92546,1.01378,0.58117,0.2348,-4.6121E-06,0,0,0
RT90 To WGS 1984,419.3836,99.3335,591.3451,0.850389,1.817277,-7.862238,-9.9496E-07,0,0,0
Fahud To WGS 1984 2,-333.102,-11.02,230.69,0,0,0.554,0.000000219,0,0,0
PDO 1993 To WGS 1984,-180.624,-225.516,173.919,-0.81,-1.898,8.336,1.67101E-05,0,0,0
ED 1950 To WGS 1984 19,-86,-92.2,-127.5,0,0,0,0,0,0,0
Antigua 1943 To WGS 1984,-255,-15,71,0,0,0,0,0,0,0
Dominica 1945 To WGS 1984,725,685,536,0,0,0,0,0,0,0
Grenada 1953 To WGS 1984,72,213.7,93,0,0,0,0,0,0,0
Montserrat 1958 To WGS 1984,174,359,365,0,0,0,0,0,0,0
St Kitts 1955 To WGS 1984,9,183,236,0,0,0,0,0,0,0
St Lucia 1955 To WGS 1984,-149,128,296,0,0,0,0,0,0,0
Locodjo 1965 To WGS 1984,-125,53,467,0,0,0,0,0,0,0
Abidjan 1987 To WGS 1984,-124.76,53,466.79,0,0,0,0,0,0,0
NAD 1983 CSRS98 To WGS 1984,0,0,0,0,0,0,0,0,0,0
Hartebeesthoek94 To WGS 1984,0,0,0,0,0,0,0,0,0,0
CH1903 To WGS 1984 1,660.077,13.551,369.344,-0.804816,-0.577692,-0.952236,0.00000566,0,0,0
CH1903 To WGS 1984 2,674.374,15.056,405.346,0,0,0,0,0,0,0
CHTRF 1995 To WGS 1984,0,0,0,0,0,0,0,0,0,0
Rassadiran To WGS 1984,-133.63,-157.5,-158.62,0,0,0,0,0,0,0
FD 1958 To WGS 1984,-241.54,-163.64,396.06,0,0,0,0,0,0,0
ED 1950 ED77 To WGS 1984,-110.33,-97.73,-119.85,0.3423,1.1634,0.2715,0.000000063,0,0,0
NAD 1983 To WGS 1984 5,-0.991,1.9072,0.5129,0.025789908,0.009650099,0.011659943,0,0,0,0
La Canoa To WGS 1984,-273.5,110.6,-357.9,0,0,0,0,0,0,0
Conakry 1905 To WGS 1984,-23,259,-9,0,0,0,0,0,0,0
Dabola To WGS 1984,-83,37,124,0,0,0,0,0,0,0
Campo Inchauspe To WGS 1984 2,-154.5,150.7,100.4,0,0,0,0,0,0,0
Hito XVIII 1963 To WGS 1984,18.38,192.45,96.82,0.056,-0.142,-0.2,-1.3E-09,0,0,0
Nahrwan 1967 To WGS 1984 4,-245,-153.9,382.8,0,0,0,0,0,0,0
Mporaloko To WGS 1984 2,-80.7,-132.5,41.1,0,0,0,0,0,0,0
Kalianpur 1937 To WGS 1984 2,214,804,268,0,0,0,0,0,0,0
Minna To WGS 1984 3,-111.92,-87.85,114.5,1.875,0.202,0.219,0.000000032,0,0,0
Nahrwan 1967 To WGS 1984 5,-250.2,-153.09,391.7,0,0,0,0,0,0,0
Indian 1975 To WGS 1984 3,204.64,834.74,293.8,0,0,0,0,0,0,0
Yemen NGN 1996 To WGS 1984,0,0,0,0,0,0,0,0,0,0
Indian 1960 To WGS 1984 2,198,881,317,0,0,0,0,0,0,0
Indian 1960 To WGS 1984 3,182,915,344,0,0,0,0,0,0,0
Egypt 1907 To WGS 1984 3,-146.21,112.63,4.05,0,0,0,0,0,0,0
Bissau To WGS 1984,-173,253,27,0,0,0,0,0,0,0
SAD 1969 To WGS 1984 14,-66.87,4.37,-38.52,0,0,0,0,0,0,0
Aratu To WGS 1984 1,-158,315,-148,0,0,0,0,0,0,0
Aratu To WGS 1984 2,-139.62,290.53,-150.29,0,0,0,0,0,0,0
Aratu To WGS 1984 3,-141.15,293.44,-150.56,0,0,0,0,0,0,0
Aratu To WGS 1984 4,-142.48,296.03,-149.74,0,0,0,0,0,0,0
Naparima 1955 To WGS 1984 2,-0.465,372.095,171.736,0,0,0,0,0,0,0
Naparima 1955 To WGS 1984 3,-2,374,172,0,0,0,0,0,0,0
Malongo 1987 To WGS 1984 2,-254.1,-5.4,-100.3,0,0,0,0,0,0,0
Korean 1995 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Qatar 1974 To WGS 1984 1,-128,-283,22,0,0,0,0,0,0,0
Qatar 1974 To WGS 1984 2,-128.16,-282.42,21.93,0,0,0,0,0,0,0
Qatar 1974 To WGS 1984 3,-128.033,-283.697,21.052,0,0,0,0,0,0,0
NZGD 1949 To WGS 1984 2,59.47,-5.04,187.44,0.47,-0.1,1.024,-4.5993E-06,0,0,0
NZGD 2000 To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Accra To WGS 1984,-199,32,322,0,0,0,0,0,0,0
American Samoa 1962 To WGS 1984,-115,118,426,0,0,0,0,0,0,0
NAD 1983 HARN To WGS 1984,0,0,0,0,0,0,0,0,0,0
SIRGAS To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 10,-259.73,173.12,-398.27,0,0,0,0,0,0,0
PSAD 1956 To WGS 1984 11,-307.7,265.3,-363.5,0,0,0,0,0,0,0
Deir ez Zor To WGS 1984 2,-177.5,14.1,237.6,0,0,0,0,0,0,0
Deir ez Zor To WGS 1984 3,-175.09,1.218,238.831,-0.047,0.019,0.808,1.698E-07,0,0,0
Deir ez Zor To WGS 1984 4,-191.77,15.01,235.07,0,0,0,0,0,0,0
Timbalai 1948 To WGS 1984 2,-678,670,-48,0,0,0,0,0,0,0
Bogota To WGS 1984 2,304.5,306.5,-318.1,0,0,0,0,0,0,0
POSGAR To WGS 1984 1,0,0,0,0,0,0,0,0,0,0
Belge 1972 To WGS 1984 1,-99.059,53.322,-112.486,0.419,-0.83,1.885,-0.000001,0,0,0
Belge 1972 To WGS 1984 2,-125.8,79.9,-100.5,0,0,0,0,0,0,0
